Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
BEKAERT;BE0974258874;BEKB;"Euronext Brussels";EUR;44.14;44.34;43.02;43.02;"18/01/22 17:35";CET;52248;2269094.96
BELRECA;BE0020575115;BELR;"Euronext Brussels";EUR;156.00;156.00;156.00;156.00;"18/01/22 16:30";CET;105;16380.00
BELUGA;BE0003723377;BELU;"Euronext Brussels";EUR;2.78;2.78;2.78;2.78;"06/01/22 16:30";CET;200;556.00
BIOCARTIS;BE0974281132;BCART;"Euronext Brussels";EUR;3.20;3.20;3.08;3.14;"18/01/22 17:35";CET;179785;564198.08
BIOTALYS;BE0974386188;BTLS;"Euronext Brussels";EUR;7.26;7.30;7.22;7.28;"18/01/22 16:10";CET;1605;11672.78
"BOEING COMPANY";US0970231058;BOEI;"Traded not listed Brussels";USD;190.00;190.00;190.00;190.00;"20/12/21 13:07";CET;20;3800.00
"BONE THERAPEUTICS";BE0974280126;BOTHE;"Euronext Brussels, Paris";EUR;0.674;0.674;0.65;0.65;"18/01/22 17:29";CET;28412;18565.45
BPOST;BE0974268972;BPOST;"Euronext Brussels";EUR;7.58;7.58;7.475;7.515;"18/01/22 17:35";CET;177567;1335714.81
"BQUE NAT. BELGIQUE";BE0003008019;BNB;"Euronext Brussels";EUR;1720.00;1720.00;1705.00;1720.00;"18/01/22 17:17";CET;39;66865.00
BREDERODE;LU1068091351;BREB;"Euronext Brussels";EUR;124.80;124.80;121.00;121.40;"18/01/22 17:35";CET;5888;720181.00
CAMPINE;BE0003825420;CAMB;"Euronext Brussels";EUR;39.80;39.80;39.80;39.80;"17/01/22 16:30";CET;62;2467.60
"CANDELA INVEST";BE0974298300;CAND;"Euronext Growth Brussels";EUR;3.80;3.80;3.80;3.80;"18/01/22 14:32";CET;649;2466.20
"CARE PROPERTY INV.";BE0974273055;CPINV;"Euronext Brussels";EUR;26.20;26.20;26.00;26.10;"18/01/22 17:35";CET;18835;491307.95
"CELYAD ONCOLOGY";BE0974260896;CYAD;"Euronext Brussels, Paris";EUR;3.56;3.56;3.44;3.44;"18/01/22 17:35";CET;10646;36971.34
CENERGY;BE0974303357;CENER;"Euronext Brussels";EUR;3.415;3.60;3.415;3.455;"18/01/22 16:19";CET;14836;51953.13
CFE;BE0003883031;CFEB;"Euronext Brussels";EUR;130.40;130.60;128.20;129.20;"18/01/22 17:35";CET;12810;1654562.60
CHEVRON;US1667641005;CHTEX;"Traded not listed Brussels";USD;96.84;96.84;96.84;96.84;"25/08/21 09:26";CET;5;484.20
CHOICE;BE0974370026;MLTV;"Euronext Access Brussels";EUR;7.00;7.00;7.00;7.00;"18/01/22 16:30";CET;387;2709.00
"CIE BOIS SAUVAGE";BE0003592038;COMB;"Euronext Brussels";EUR;327.00;327.00;323.00;325.00;"18/01/22 17:35";CET;421;136910.00
"CISCO SYSTEM INC";US17275R1023;CIS;"Traded not listed Brussels";USD;60.00;60.00;60.00;60.00;"07/01/22 09:06";CET;20;1200.00
CO.BR.HA;BE0003519270;COBH;"Euronext Growth Brussels";EUR;3000.00;3000.00;3000.00;3000.00;"17/01/22 11:30";CET;16;48000.00
COFINIMMO;BE0003593044;COFB;"Euronext Brussels";EUR;140.60;142.00;138.90;139.30;"18/01/22 17:37";CET;27533;3844313.10
COLRUYT;BE0974256852;COLR;"Euronext Brussels";EUR;37.32;37.45;37.01;37.02;"18/01/22 17:35";CET;157194;5838325.55
CRESCENT;BE0003836534;OPTI;"Euronext Brussels";EUR;0.0239;0.0244;0.0231;0.0231;"18/01/22 17:23";CET;1326680;31279.45
